"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"CLRBZ","Cellectar Biosciences, Inc.","0.551","0","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/clrbz",
"CLLS","Cellectis S.A.","24.11","186689781.61","7743251","2015","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/clls",
"CBMG","Cellular Biomedicine Group, Inc.","10.8","154238580","n/a","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/cbmg",
"CLSN","Celsion Corporation","0.272","15086885.824","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/clsn",
"CYAD","Celyad SA","32.975","17821965.275","540469","2015","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/cyad",
"CEMP","Cempra, Inc.","4.3","225289491.5","n/a","2012","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/cemp",
"CETX","Cemtrex Inc.","3.19","32105384.96","n/a","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/cetx",
"CETXP","Cemtrex Inc.","5.6103","0","n/a","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/cetxp",
"CETXW","Cemtrex Inc.","0.52","0","n/a","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/cetxw",
"CDEV","Centennial Resource Development, Inc.","16.49","3739123973.51","n/a","2016","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/cdev",
"CSFL","CenterState Banks, Inc.","25.23","1288367351.31","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/csfl",
"CETV","Central European Media Enterprises Ltd.","4.1","592127051.2","n/a","1994","Consumer Services","Broadcasting","http://www.nasdaq.com/symbol/cetv",
"CFBK","Central Federal Corporation","2.321","37805787.217","n/a","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/cfbk",
"CENT","Central Garden & Pet Company","37.8","1940248296","n/a","1993","Consumer Durables","Consumer Specialties","http://www.nasdaq.com/symbol/cent",
"CENTA","Central Garden & Pet Company","35.23","1808331943.6","n/a","n/a","Consumer Durables","Consumer Specialties","http://www.nasdaq.com/symbol/centa",
"CVCY","Central Valley Community Bancorp","22.71","277029751.8","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/cvcy",
"CFCB","Centrue Financial Corporation","26.4","171961521.6","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/cfcb",
"CENX","Century Aluminum Company","13.64","1190256067","n/a","1996","Basic Industries","Aluminum","http://www.nasdaq.com/symbol/cenx",
"CNBKA","Century Bancorp, Inc.","63.05","351056662.45","n/a","1987","Finance","Major Banks","http://www.nasdaq.com/symbol/cnbka",
"CNTY","Century Casinos, Inc.","8.23","201254395.42","n/a","n/a","Consumer Services","Hotels/Resorts","http://www.nasdaq.com/symbol/cnty",
"CRNT","Ceragon Networks Ltd.","3.33","259199231.31","n/a","n/a","Technology","Radio And Television Broadcasting And Communications Equipment","http://www.nasdaq.com/symbol/crnt",
"CERC","Cerecor Inc.","0.442","4773435.576","n/a","2015","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/cerc",
"CERCW","Cerecor Inc.","0.04","0","n/a","2015","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/cercw",
